original_text,cleaned_text,rating,sentiment,text_length
"kecewa banget di main acc ga ke update sama sekali, sedangkan di sec acc/acc lain udh bener ke update, rasanya gaenak aja gitu yg lain udh pda update giliran sini ga ke updatee 🫤",kecewa banget di main acc ga ke update sama sekali sedangkan di sec acc acc lain udh bener ke update rasanya gaenak aja gitu yg lain udh pda update giliran sini ga ke updatee,1,negative,174
"efek nya di ilangin 😕 , mampus biarin aja semua orang yang suka foto pindah ke tiktok",efek nya di ilangin mampus biarin aja semua orang yang suka foto pindah ke tiktok,1,negative,81
Mudah dan praktis 👍,mudah dan praktis,5,positive,17
"Aplikasi ini memiliki tampilan yang bagus, jernih, jelas dan kontennya mengandung kwalitas yang tinggi mungkin pengguna dan pelanggannya berasal dari manusia yang berkwalitas juga.",aplikasi ini memiliki tampilan yang bagus jernih jelas dan kontennya mengandung kwalitas yang tinggi mungkin pengguna dan pelanggannya berasal dari manusia yang berkwalitas juga,5,positive,177
"Halo Instagram, saya ingin melaporkan masalah di aplikasi. Akun saya tidak bisa melihat story sendiri maupun story orang lain. Padahal aplikasi sudah diperbarui ke versi terbaru dan koneksi internet juga stabil, tapi tetap saja story tidak muncul. Mohon pihak Instagram segera memperbaiki bug ini karena sangat mengganggu kenyamanan pengguna. Terima kasih. Hormat saya, RiFiQ",halo instagram saya ingin melaporkan masalah di aplikasi akun saya tidak bisa melihat story sendiri maupun story orang lain padahal aplikasi sudah diperbarui ke versi terbaru dan koneksi internet juga stabil tapi tetap saja story tidak muncul mohon pihak instagram segera memperbaiki bug ini karena sangat mengganggu kenyamanan pengguna terima kasih hormat saya rifiq,1,negative,367
video lama kenapa mendadak jadi ga terhapus sound nya.. padahal itu sound asli dari pengguna. pengen di balikin lagi aja semua.. kalo poto juga jadi buram,video lama kenapa mendadak jadi ga terhapus sound nya padahal itu sound asli dari pengguna pengen di balikin lagi aja semua kalo poto juga jadi buram,1,negative,149
pembaharuan yang sangat sangat buruk,pembaharuan yang sangat sangat buruk,1,negative,36
"ig sekarang sensitif bgt, masa acc ku ga dipakai buat aneh"" tbtb kena nonaktif permanen, sedih banget padahal first acc.",ig sekarang sensitif bgt masa acc ku ga dipakai buat aneh tbtb kena nonaktif permanen sedih banget padahal first acc,2,negative,116
Suspended once and as i make a new account it got suspended again after few days. i didn't do anything violates IG terms n policy. You let some accounts that literally do spams n bad contents alive meanwhile you suspend just regular people on social media. and we don't even have any way to contact your side,suspended once and as i make a new account it got suspended again after few days i didn t do anything violates ig terms n policy you let some accounts that literally do spams n bad contents alive meanwhile you suspend just regular people on social media and we don t even have any way to contact your side,2,negative,305
bagus sekali untuk sa,bagus sekali untuk sa,5,positive,21
"udah di instal berkali "" tatap ngk mau",udah di instal berkali tatap ngk mau,1,negative,36
fitur baruku gaisok i,fitur baruku gaisok i,2,negative,21
CARA PIN KOMENTAR SENDIRI ITU GIMANA? KOK GAK ADA??!,cara pin komentar sendiri itu gimana kok gak ada,2,negative,48
thanks you untuk developer yang bikin instagram ini karena ku suka dan gk pernah mencewakan hasil dan ku coba selalu ketagian dan betah berada di instagram dan lihat lihat ku kasih bintang 5,thanks you untuk developer yang bikin instagram ini karena ku suka dan gk pernah mencewakan hasil dan ku coba selalu ketagian dan betah berada di instagram dan lihat lihat ku kasih bintang,5,positive,188
SEMENJAK DOWNLOAD ULANG KADANG KIDINGG FILTER BUAT FOTO SHOOT NYA KG BISA DIPAKE,semenjak download ulang kadang kidingg filter buat foto shoot nya kg bisa dipake,1,negative,80
saya senang menggunakan aplikasi ini,saya senang menggunakan aplikasi ini,5,positive,36
cantik banget,cantik banget,5,positive,13
"ig saya tidak bisa dibuka, terkeluar terus, kenapa yaa",ig saya tidak bisa dibuka terkeluar terus kenapa yaa,4,positive,52
mau posting foto Mala error potret nya hilang jadi kepotong fotonya 😑,mau posting foto mala error potret nya hilang jadi kepotong fotonya,2,negative,67
sangat puas dan bagusss,sangat puas dan bagusss,5,positive,23
Fowoler ku sedikit,fowoler ku sedikit,5,positive,18
instagram tolong bntu aku ganti Tangal lahir aku terimakasih,instagram tolong bntu aku ganti tangal lahir aku terimakasih,5,positive,60
pokonya bagussss,pokonya bagussss,5,positive,16
chattan hilang,chattan hilang,1,negative,14
Kebanyakan postingan sama reel deh 🗿,kebanyakan postingan sama reel deh,1,negative,34
arsip ngeblur semuaa,arsip ngeblur semuaa,1,negative,20
knp nih tiba-tiba minta konfirmasi login tapi kaga bisa juga,knp nih tiba tiba minta konfirmasi login tapi kaga bisa juga,1,negative,60
sangat berguna untuk saya,sangat berguna untuk saya,5,positive,25
aplikasinya sangat mendukung saya untuk berdakwah di sosial media,aplikasinya sangat mendukung saya untuk berdakwah di sosial media,5,positive,65
Ye ig bagus jadi bisa wa vilme g Wili salim,ye ig bagus jadi bisa wa vilme g wili salim,1,negative,43
tolol ora bisa buka dm,tolol ora bisa buka dm,5,positive,22
kamera nya baguss🙌🔪,kamera nya baguss,5,positive,17
udah berkali kali gabisa saya mau ganti profil sorotan tapi loading terusan terusan di perbaiki dong,udah berkali kali gabisa saya mau ganti profil sorotan tapi loading terusan terusan di perbaiki dong,1,negative,100
sangat bermanfaat sekali aplikasi inia,sangat bermanfaat sekali aplikasi inia,5,positive,38
saya senang dengan apk ini....udah itu aja makasih..love you yang baca love youuuuu so much ummaaaaa,saya senang dengan apk ini udah itu aja makasih love you yang baca love youuuuu so much ummaaaaa,5,positive,96
"aplikasi ga jelass semua akunku di nonaktifkan semua katanya tidak mengikuti standar komunitas terus pelecehan kepada anak kecill, emng ga maslah tinggal bikin akun baru gampang tapi sayang aja banyak foto foto astagaaa ini meta pada kenapa ya di facebook juga sama padahal akun facebook semua akun game di sambungin ke akun facebook minta tolong dong perbaiki lagi sistemnya mohon maaf inimah bukan di instagram doang soalnya facebook pun sama",aplikasi ga jelass semua akunku di nonaktifkan semua katanya tidak mengikuti standar komunitas terus pelecehan kepada anak kecill emng ga maslah tinggal bikin akun baru gampang tapi sayang aja banyak foto foto astagaaa ini meta pada kenapa ya di facebook juga sama padahal akun facebook semua akun game di sambungin ke akun facebook minta tolong dong perbaiki lagi sistemnya mohon maaf inimah bukan di instagram doang soalnya facebook pun sama,1,negative,443
sangat baik,sangat baik,5,positive,11
Bagus sih tapi kok pp nya ngelag tiba-tiba sama foto profil saya sama orang orang yg saya ikuti/follow😓🙏,bagus sih tapi kok pp nya ngelag tiba tiba sama foto profil saya sama orang orang yg saya ikuti follow,2,negative,102
efek nya jlk jelek,efek nya jlk jelek,1,negative,18
terlalu Mandang fisik 🗿,terlalu mandang fisik,1,negative,21
sangat bagus,sangat bagus,5,positive,12
"sengaja kasih bintang lima biar dilihat adminnya, woyy min kembalikan fitur live masa iya harus banget yaa 1000 follower buat live,nasib akun gw gimana min apalgi ini akun baruu, tolong admin dengar yaa ulasan inii biar di aktifkan lagi fitur live nya, perhitungan banget jadi adminnn",sengaja kasih bintang lima biar dilihat adminnya woyy min kembalikan fitur live masa iya harus banget yaa follower buat live nasib akun gw gimana min apalgi ini akun baruu tolong admin dengar yaa ulasan inii biar di aktifkan lagi fitur live nya perhitungan banget jadi adminnn,5,positive,276
"Instagram apaan sih sekarang mau liat postingan aja keluar mulu klo dipencet, kudu uninstall terus download ulang baru bisa tapi gak lama kambuh lagi kaya gtu",instagram apaan sih sekarang mau liat postingan aja keluar mulu klo dipencet kudu uninstall terus download ulang baru bisa tapi gak lama kambuh lagi kaya gtu,1,negative,157
Sangat Baik kok Baguss,sangat baik kok baguss,5,positive,22
gak bisa live,gak bisa live,1,negative,13
Seru sekali,seru sekali,5,positive,11
sangat puas dengan aplikasi tersebut,sangat puas dengan aplikasi tersebut,5,positive,36
Apk sangat baguss,apk sangat baguss,5,positive,17
biasa aja bikin bosan,biasa aja bikin bosan,2,negative,21
fyp in akun aku,fyp in akun aku,5,positive,15
aman terbaik,aman terbaik,5,positive,12
ko gk bsa buat nge live,ko gk bsa buat nge live,2,negative,23
saya ingin mengunakan aplikasi ini,saya ingin mengunakan aplikasi ini,1,negative,34
"Makin buruk, kepencet archive postingan, tiba tiba hilang itu postingan, gabisa di post, wifi aman tapi lemot, kelaazzz semakin turunkan performanya, mau dipindahkan ke thread, kalau lama kelamaan sering update hasil seperti instagram sekarang, gaakan bertahan lama itu aplikasi👏🏼",makin buruk kepencet archive postingan tiba tiba hilang itu postingan gabisa di post wifi aman tapi lemot kelaazzz semakin turunkan performanya mau dipindahkan ke thread kalau lama kelamaan sering update hasil seperti instagram sekarang gaakan bertahan lama itu aplikasi,1,negative,270
assalamualaikum Instagram saget bagus 👍,assalamualaikum instagram saget bagus,5,positive,37
apk goblk nggak bisa hpus grup obrolan tolol,apk goblk nggak bisa hpus grup obrolan tolol,1,negative,44
Karena udah fyp,karena udah fyp,5,positive,15
Aplikasi rusak,aplikasi rusak,5,positive,14
"Instagram atau di singkat ig, merupakan aplikasi paling Rasis nomor 2 setelah logo burung langsing. di mana kerasisan adalah hal normal di aplikasi ini dan hebat nya bukan cuma Rasis, bahkan iklan judol aja meraja lela di aplikasi ini bisa nya akun teman saya jadi akun jodol kan aneh. saya gak apa apa soal Rasis tapi hilang kan lah soal penyebaran judi online itu mungkin sampai di sini aja saya takut di serang sama pengguna aplikasi ini.",instagram atau di singkat ig merupakan aplikasi paling rasis nomor setelah logo burung langsing di mana kerasisan adalah hal normal di aplikasi ini dan hebat nya bukan cuma rasis bahkan iklan judol aja meraja lela di aplikasi ini bisa nya akun teman saya jadi akun jodol kan aneh saya gak apa apa soal rasis tapi hilang kan lah soal penyebaran judi online itu mungkin sampai di sini aja saya takut di serang sama pengguna aplikasi ini,5,positive,434
bagus sihh untuk tiktokan/dance tpi banyak org yg rusuh tpi gk di blok gk kayak tt kalau tt kalau ada org kek gitu pasti di blok,bagus sihh untuk tiktokan dance tpi banyak org yg rusuh tpi gk di blok gk kayak tt kalau tt kalau ada org kek gitu pasti di blok,4,positive,128
"Bagus, banyak banget peng update nya yang membuat aplk nya lebib canggih,dan di aplk ini banyak banget artis yang bisa diikuti",bagus banyak banget peng update nya yang membuat aplk nya lebib canggih dan di aplk ini banyak banget artis yang bisa diikuti,5,positive,125
bagusssss bangettttt,bagusssss bangettttt,4,positive,20
"ini kenapa ya kok aku buka ig dari tadi pagi jam 4 ngga bisa bisa tiba"" keluar sendiri tolong lah diperbaiki segera admin instagram",ini kenapa ya kok aku buka ig dari tadi pagi jam ngga bisa bisa tiba keluar sendiri tolong lah diperbaiki segera admin instagram,1,negative,128
sangat senang,sangat senang,5,positive,13
"g bisa live lagiii , pengikut turun sendiri pdhl gd yg unfoll",g bisa live lagiii pengikut turun sendiri pdhl gd yg unfoll,2,negative,59
sangat bagus,sangat bagus,5,positive,12
APLIKASI YG BAGUSSSSS,aplikasi yg bagusssss,5,positive,21
aplikasi ini sangat bagus sangat rekomen banget,aplikasi ini sangat bagus sangat rekomen banget,5,positive,47
kembaliin fitur live,kembaliin fitur live,1,negative,20
"Yee poko'ng aplikasi riah nyaman onggu, rogi mun lok a download, dulih a download begi se ghitak andik aplikasi riah😘",yee poko ng aplikasi riah nyaman onggu rogi mun lok a download dulih a download begi se ghitak andik aplikasi riah,5,positive,114
"postingan di feed hilang padahal saya memiliki 16 postingan bukan nya perbaiki bug malah nambah fitur peta, developer kocak",postingan di feed hilang padahal saya memiliki postingan bukan nya perbaiki bug malah nambah fitur peta developer kocak,1,negative,119
Ini kok habis diperbarui komentar yang sedang diketik tidak bisa dilihat secara real time.😢😢😢😢😭😭,ini kok habis diperbarui komentar yang sedang diketik tidak bisa dilihat secara real time,2,negative,89
tolong kembalikan label Boomerang diatas walau videonya dari galeri plsplsplspls,tolong kembalikan label boomerang diatas walau videonya dari galeri plsplsplspls,1,negative,80
sangat bagusss,sangat bagusss,5,positive,14
"fitur reupload di first akun ga ada, sedangkan di second akun ada. aplikasi semakin tahun semakin buruk fitur nya, kadang suka keluar sendiri. pas ganti background sorotan suka ngecrash app nya.",fitur reupload di first akun ga ada sedangkan di second akun ada aplikasi semakin tahun semakin buruk fitur nya kadang suka keluar sendiri pas ganti background sorotan suka ngecrash app nya,1,negative,189
tidak ada fitur nge repost padahal sudah saya update,tidak ada fitur nge repost padahal sudah saya update,4,positive,52
sangat baik,sangat baik,5,positive,11
"tolong diperbaiki cara menghapus riwayat tontonan, masa tidak bisa dihapus sekali semua harus satu persatu di klik. capek di buat gampang aja zaman uda canggih",tolong diperbaiki cara menghapus riwayat tontonan masa tidak bisa dihapus sekali semua harus satu persatu di klik capek di buat gampang aja zaman uda canggih,1,negative,157
Tambahkan fitur repost pasti keren,tambahkan fitur repost pasti keren,5,positive,34
saya suka dengan apknya tapiii kurang nya di postingan sg nya gak ada komentar dari orang,saya suka dengan apknya tapiii kurang nya di postingan sg nya gak ada komentar dari orang,5,positive,89
Sangat menghibur,sangat menghibur,5,positive,16
"Hi I need help, why can't my account be made public even though I made it public from privacy, it doesn't work. It always goes back to privacy???",hi i need help why can t my account be made public even though i made it public from privacy it doesn t work it always goes back to privacy,2,negative,139
bagus banget pokoknya mahh mantep mantep gacorr,bagus banget pokoknya mahh mantep mantep gacorr,5,positive,47
instagramku ngga bisa dibuka woy,instagramku ngga bisa dibuka woy,1,negative,32
Gk sesuay yang say mau,gk sesuay yang say mau,1,negative,22
gabisa loginnn,gabisa loginnn,1,negative,14
"Aplikasi nya bagus hanya saja sering terjadi bug,seperti tidak bisa memposting cerita.",aplikasi nya bagus hanya saja sering terjadi bug seperti tidak bisa memposting cerita,5,positive,85
"gwe blokir ni apk enakk aja bilang cewe gwe jamett , Cewee gwe cakepp woii lu jomblo yaa",gwe blokir ni apk enakk aja bilang cewe gwe jamett cewee gwe cakepp woii lu jomblo yaa,5,positive,86
sangat membantu,sangat membantu,5,positive,15
klo gada ig kayanya ga kece pas foto😎🤪,klo gada ig kayanya ga kece pas foto,5,positive,36
apk nya bgs,apk nya bgs,5,positive,11
sangat bagus 😎😎👍,sangat bagus,5,positive,12
mantap aplikasinya,mantap aplikasinya,4,positive,18
karna update tanggal. lagir ga bisa di susahin,karna update tanggal lagir ga bisa di susahin,2,negative,45
goog and beutifull,goog and beutifull,5,positive,18
gabisa dibuka,gabisa dibuka,1,negative,13
"bagus sih cuman kenapa punyaku ga ada fitur repostnya, aku juga mau repost kyk yang lain woi 🤬🤬",bagus sih cuman kenapa punyaku ga ada fitur repostnya aku juga mau repost kyk yang lain woi,4,positive,91
"Ig tolol nyari filter gk bisa bego, mana filter yang dulu hilang lagi",ig tolol nyari filter gk bisa bego mana filter yang dulu hilang lagi,1,negative,68
kenapa Instagram gak bisa live sekarang????,kenapa instagram gak bisa live sekarang,1,negative,39
"ini kenapa ya, saya buka Instagram tapi keluar sendiri, bisa masuk sekitar 5/10 detik trus keluar lagi",ini kenapa ya saya buka instagram tapi keluar sendiri bisa masuk sekitar detik trus keluar lagi,1,negative,95
apalah ig ni gk bisa up story,apalah ig ni gk bisa up story,5,positive,29
yang lain pada sibuk ngurusin chat grup lah gua yang cari ketenangan dengan scrol scroll ig inii seperti orang yang gak punya kerjaan. yah tapi itu ada artinya aku ngelakuin ini karena hatiku sakitt orang yang ku cintai ternyata dia membohongi ku dia melupakan janji yang dia katakan dan itu membuat ku stress. aku ingin mencari ketenangan pliss.. ini Instagram pertahan kan gini yah jangan di update lagii kalau boleh sih yah update aja gitu perbaiki chat grup nya yah walaupun aku gak punya grup,yang lain pada sibuk ngurusin chat grup lah gua yang cari ketenangan dengan scrol scroll ig inii seperti orang yang gak punya kerjaan yah tapi itu ada artinya aku ngelakuin ini karena hatiku sakitt orang yang ku cintai ternyata dia membohongi ku dia melupakan janji yang dia katakan dan itu membuat ku stress aku ingin mencari ketenangan pliss ini instagram pertahan kan gini yah jangan di update lagii kalau boleh sih yah update aja gitu perbaiki chat grup nya yah walaupun aku gak punya grup,5,positive,493
"saya nggak tau apah kesalahan saya tiba² aku saya ditangguhkan dan malah dinonaktifkan nggk cuman itu akun FB saya juga dinonaktifkan tiba²,tolong kah diberi kenapa dan apah alasannya,kecewa banget punya akun dari SMP hilang tiba²",saya nggak tau apah kesalahan saya tiba aku saya ditangguhkan dan malah dinonaktifkan nggk cuman itu akun fb saya juga dinonaktifkan tiba tolong kah diberi kenapa dan apah alasannya kecewa banget punya akun dari smp hilang tiba,1,negative,227
Instagram aplikasi okey 👍🏻,instagram aplikasi okey,5,positive,23
apk nya bagus banget sih parah,apk nya bagus banget sih parah,5,positive,30
suka banget,suka banget,5,positive,11
bguss biasaaa aj,bguss biasaaa aj,4,positive,16
"lumayan puas dgn fitur yg ada saat ini,tapi tolong jangan terlalu sering update yg terlalu besar tanpa banyak perubahan di dalam aplikasinya.",lumayan puas dgn fitur yg ada saat ini tapi tolong jangan terlalu sering update yg terlalu besar tanpa banyak perubahan di dalam aplikasinya,4,positive,140
kenapa tidak bisa menambahkan mentions lagi,kenapa tidak bisa menambahkan mentions lagi,5,positive,43
Kenapa akun saya tidak bisa login min?,kenapa akun saya tidak bisa login min,4,positive,37
sngatt bguss,sngatt bguss,5,positive,12
gak dapet kode konfirmasi dari wa saya sudah coba ulangi kembali tapi tetep gak bisa,gak dapet kode konfirmasi dari wa saya sudah coba ulangi kembali tapi tetep gak bisa,1,negative,84
tolong buat kan fitur hd story dong min biar kalo post Ig gak pecah apalagi di android,tolong buat kan fitur hd story dong min biar kalo post ig gak pecah apalagi di android,4,positive,86
sangat membantu kami dlm menggunakan media sosial,sangat membantu kami dlm menggunakan media sosial,4,positive,49
sangat sangat memuaskan 💯💯💯,sangat sangat memuaskan,5,positive,23
Aplikasi bagus 💦,aplikasi bagus,5,positive,14
sangat recommended,sangat recommended,5,positive,18
konten video,konten video,1,negative,12
"tidak bisa mengubah tanggal lahir, padahal saya sudah update aplikasi ini 2 kali, tetapi masih tidak bisa.. mohon diperbaiki",tidak bisa mengubah tanggal lahir padahal saya sudah update aplikasi ini kali tetapi masih tidak bisa mohon diperbaiki,2,negative,118
setiap mau edit sampul sorotan memuat nya lama bangettt,setiap mau edit sampul sorotan memuat nya lama bangettt,2,negative,55
tempat orang miskin instagram,tempat orang miskin instagram,5,positive,29
"menyenangkan, semoga lebih menyenangkan lagi. untuk usaha terutama. tolong dibantu.",menyenangkan semoga lebih menyenangkan lagi untuk usaha terutama tolong dibantu,5,positive,79
Sangat Bagus,sangat bagus,5,positive,12
"Instagram lama saya tiba"" hilang, IG ga jelas",instagram lama saya tiba hilang ig ga jelas,1,negative,43
"udh lama pakai Instagram tapi minta tolong untuk fitur live jangan nunggu 1000 pengikut baru bisa live, jangan ikut ikut tiktok masalah fitur nyaa, buat fitur Instagram udh bagus jangan diubah ubah lagi, saya sendiri sebagai pengguna Instagram lebih suka Instagram yg dulu. plis dibaca ya min",udh lama pakai instagram tapi minta tolong untuk fitur live jangan nunggu pengikut baru bisa live jangan ikut ikut tiktok masalah fitur nyaa buat fitur instagram udh bagus jangan diubah ubah lagi saya sendiri sebagai pengguna instagram lebih suka instagram yg dulu plis dibaca ya min,4,positive,283
"parah lu meta, bisa²nya akun gw di banned permanent gara² ""pelecehan anak dibawah umur"" hahh?!?!! ig gw isinya silat semua kok bisa kena banned karna pelecehan anak dibawah umur gw sumpahin bangkrut perusahaan lu ig gw banyak kenangannya mlah ilang tak tersisa mohon diperbaiki lagi sistem ngebannednya jgn cuma ngandelin ai",parah lu meta bisa nya akun gw di banned permanent gara pelecehan anak dibawah umur hahh ig gw isinya silat semua kok bisa kena banned karna pelecehan anak dibawah umur gw sumpahin bangkrut perusahaan lu ig gw banyak kenangannya mlah ilang tak tersisa mohon diperbaiki lagi sistem ngebannednya jgn cuma ngandelin ai,1,negative,315
sangat bagus dalam mengrobl,sangat bagus dalam mengrobl,5,positive,27
keren luar biasa,keren luar biasa,5,positive,16
the application just stops at the logo,the application just stops at the logo,1,negative,38
"sangat bagus saya suka fitur nya, dan jaringan ny juga bagus tapi agak sedikit berbeda dengan Ig lie mangkanya saya suka dan juga teraturr..............",sangat bagus saya suka fitur nya dan jaringan ny juga bagus tapi agak sedikit berbeda dengan ig lie mangkanya saya suka dan juga teraturr,5,positive,137
Aplikasinya bagus dan sangat memuaskan makin update makin bagus deh emang cocok kalo lagi gabut😁,aplikasinya bagus dan sangat memuaskan makin update makin bagus deh emang cocok kalo lagi gabut,4,positive,95
Suka bug. Klo habis liat story dan mau keberanda,suka bug klo habis liat story dan mau keberanda,2,negative,47
snagtt memuaskan,snagtt memuaskan,5,positive,16
instagram memang jancuuuk,instagram memang jancuuuk,5,positive,25
apadah kga bisa login cok,apadah kga bisa login cok,2,negative,25
dgn Ady instagram sy bisa bisa serba bisa wkwkwk,dgn ady instagram sy bisa bisa serba bisa wkwkwk,5,positive,48
terimakasih supportnya,terimakasih supportnya,5,positive,22
"tolong perbaiki lagi bug nya, masa permintaan pertemanan dibatasi, setiap mau follow orang selalu muncul notif pembatasan. padahal addnya tidak banyak. kadang mau follow orang nggak bisa",tolong perbaiki lagi bug nya masa permintaan pertemanan dibatasi setiap mau follow orang selalu muncul notif pembatasan padahal addnya tidak banyak kadang mau follow orang nggak bisa,2,negative,182
bgus di pakai ngesad,bgus di pakai ngesad,4,positive,20
Akun IG saya kena Hack dan ada akun gmail asing yg nyangkut. Mau pulihkan akun beneran susah banget dan keamanannya buruk. Padahal udh ada email pribadi dan no HP. Masa ga bisa login sih. Kacau..,akun ig saya kena hack dan ada akun gmail asing yg nyangkut mau pulihkan akun beneran susah banget dan keamanannya buruk padahal udh ada email pribadi dan no hp masa ga bisa login sih kacau,1,negative,189
Aku sangat kagum,aku sangat kagum,5,positive,16
Waw banyak sekali bocil yg bilang tapi boong,waw banyak sekali bocil yg bilang tapi boong,5,positive,44
kecewa sama apk Ig sudah 7 tahun akun saya tiba tiba di tutup,kecewa sama apk ig sudah tahun akun saya tiba tiba di tutup,1,negative,59
bagus bangat,bagus bangat,5,positive,12
"ig ini knp sih?? niat ngsih fitur caption di sg ga sih?? dulu udh ada, rata ke semua pengguna ig, lalu di update fitur itu di hilangkan, skrang update lagi fitur caption di kembalikan lagi tpi saya gabisa buay caption di sg, udh nulis CP pnjang² pas di upload tbtb cp hilang tpi liat sg org lain bisa ada fitur caption nya, udh sllu update, sinyal (wifi & paket data) lancar total, uninstall dan install lgi ttp aja gabisa. tiap di upload tbtb ilang sendiri, GAJELASSS.",ig ini knp sih niat ngsih fitur caption di sg ga sih dulu udh ada rata ke semua pengguna ig lalu di update fitur itu di hilangkan skrang update lagi fitur caption di kembalikan lagi tpi saya gabisa buay caption di sg udh nulis cp pnjang pas di upload tbtb cp hilang tpi liat sg org lain bisa ada fitur caption nya udh sllu update sinyal wifi paket data lancar total uninstall dan install lgi ttp aja gabisa tiap di upload tbtb ilang sendiri gajelasss,1,negative,450
sangat puas,sangat puas,5,positive,11
"Aplikasinya ga nyambung, akunnya tiba' di banned",aplikasinya ga nyambung akunnya tiba di banned,1,negative,46
"Tambahkan fitur yg bisa mendeteksi follower yg meng unfoll dong, kaya aplikasi pihak ke3 yg bertebaran di playstore",tambahkan fitur yg bisa mendeteksi follower yg meng unfoll dong kaya aplikasi pihak ke yg bertebaran di playstore,4,positive,113
aku pernah donwload ig ini tpi aq kok nga bs daftarnya ya pdhl aku udh cr tutor nya di youtube tpi tetap nga bs tolong tutor nya donk,aku pernah donwload ig ini tpi aq kok nga bs daftarnya ya pdhl aku udh cr tutor nya di youtube tpi tetap nga bs tolong tutor nya donk,2,negative,133
disuruh update di play store pas mau diupdate malah gabisa aneh,disuruh update di play store pas mau diupdate malah gabisa aneh,5,positive,63
live nya nunggu followers 1000 apk bodo ni.,live nya nunggu followers apk bodo ni,1,negative,37
membuka peluang,membuka peluang,5,positive,15
pengen jadi selebgram,pengen jadi selebgram,5,positive,21
bagus sekali saya suka,bagus sekali saya suka,5,positive,22
okee bgt lah poko nyaa,okee bgt lah poko nyaa,5,positive,22
Sangat baguss,sangat baguss,5,positive,13
Bagusssssss bangetttttttt,bagusssssss bangetttttttt,5,positive,25
gatau belum coba😭,gatau belum coba,5,positive,16
"ig ini parah sih bug story nya, ada arsip sg yang hilang, tidak tersedia, tlg ya perbaikin bug nya",ig ini parah sih bug story nya ada arsip sg yang hilang tidak tersedia tlg ya perbaikin bug nya,1,negative,95
ya saya menyukai apiklasi ini,ya saya menyukai apiklasi ini,5,positive,29
Gila makin kesini makin vaya iklan judi nya ikpan pinjol nya bikin g nyaman lama²,gila makin kesini makin vaya iklan judi nya ikpan pinjol nya bikin g nyaman lama,1,negative,80
"Jelek mengandung fotografi,anak""bisa kecanduan",jelek mengandung fotografi anak bisa kecanduan,1,negative,46
semoga lebih bermanfaat lagi yaa . i love u instagram,semoga lebih bermanfaat lagi yaa i love u instagram,4,positive,51
"buat dong hapus story riwayat aku, kaya bio,link di bio",buat dong hapus story riwayat aku kaya bio link di bio,5,positive,54
sangat bagus,sangat bagus,5,positive,12
ACl Gamet9p,acl gamet p,5,positive,11
terlalu besar mb nya,terlalu besar mb nya,4,positive,20
udah ga resep sama ig gw ga salah apa apa di ben ga jelas kan,udah ga resep sama ig gw ga salah apa apa di ben ga jelas kan,5,positive,61
"gd update terbaru, masa di hp lain ada, di hp ku gd😒🙄🙄🙄",gd update terbaru masa di hp lain ada di hp ku gd,1,negative,49
"tiba"" live harus 1000 pengikut anehh",tiba live harus pengikut anehh,1,negative,30
bagus keren dan bermanfaat,bagus keren dan bermanfaat,5,positive,26
seru bangettt ngejelajah sosial media di instagram,seru bangettt ngejelajah sosial media di instagram,5,positive,50
tolong dong min Instagram saya ke uninstall trs pas install ulang close force trs Instagram nya gbisa di buka udh brkli kali download ulang ttp aja udh 2 hari,tolong dong min instagram saya ke uninstall trs pas install ulang close force trs instagram nya gbisa di buka udh brkli kali download ulang ttp aja udh hari,4,positive,156
nice application,nice application,5,positive,16
return note feature!,return note feature,5,positive,19
gak jelas akun gak bermasalah kena suspend wkwkkwk,gak jelas akun gak bermasalah kena suspend wkwkkwk,1,negative,50
"sangat baik aku suka fitur""nya debess👍🏻",sangat baik aku suka fitur nya debess,5,positive,37
sangat bgus,sangat bgus,4,positive,11
"mau ganti sampul sorotan gabisa padahal jaringan kuat, Ig bosok",mau ganti sampul sorotan gabisa padahal jaringan kuat ig bosok,1,negative,62
Aplikasi nya bagus banyak filter menarik,aplikasi nya bagus banyak filter menarik,5,positive,40
Instagram ok👍👍👍 bgt,instagram ok bgt,5,positive,16
Pas cari filter gak ada,pas cari filter gak ada,5,positive,23
"kecewa banget sama Instagram, karna akun Facebook saya di tangguhkan. karna kebijakan privasi dan melebihi standar komunitas. padahal saya jarang upload apa apa di Instagram. dan kenapa Instagram yang bermasalah terus karna akun Facebook terkait. jadinya akun Facebook juga di tangguhkan kecewa banget sumpah. mana akun udah lama dari 2015. ajukan bandring gak bisaa.",kecewa banget sama instagram karna akun facebook saya di tangguhkan karna kebijakan privasi dan melebihi standar komunitas padahal saya jarang upload apa apa di instagram dan kenapa instagram yang bermasalah terus karna akun facebook terkait jadinya akun facebook juga di tangguhkan kecewa banget sumpah mana akun udah lama dari ajukan bandring gak bisaa,1,negative,354
ya begitulah,ya begitulah,5,positive,12
KENAPA TBTB SUKA KELUAR DARI APLIKASII SENDIRIIIIII AH SEBEL BGT,kenapa tbtb suka keluar dari aplikasii sendiriiiiii ah sebel bgt,2,negative,64
"singkat saja, bagus 👍",singkat saja bagus,5,positive,18
